MIC001;MIC002;MIC004;MIC006;MIC007;MIC008;MIC009;MIC010;MIC011;MIC012;MIC014;MIC015;MIC016;MIC017;MIC018;MIC019;MIC022;MIC025;MIC027;MIC028;MIC029;MIC032;MIC033;MIC034;MIC035;MIC036;MIC037;MIC038;MIC042;MIC043;MIC044;MIC045;MIC046;MIC047;MIC048;MIC050;MIC051;MIC052;MIC053;MIC054;MIC055;MIC056;MIC058;MIC059;MIC060;MIC061;MIC062;MIC063;MIC064;MIC066;MIC067;MIC068;MIC069;MIC071;MIC072;MIC073;MIC074;MIC075;MIC076;MIC077;MIC078;MIC080;MIC081;MIC082;MIC083;MIC084;MIC085;MIC087;MIC088;MIC089;MIC090;taxonomy
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82;10;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;111;"Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus;Paracoccus aerius"
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;198;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;6;0;0;0;0;0;"Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus;Paracoccus marcusii"
0;0;0;0;0;0;0;0;0;119;0;0;0;0;835;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus;Paracoccus mutanolyticus"
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;427;0;0;0;43;"Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus;Paracoccus sp017315735"
0;0;0;0;0;0;0;0;0;0;0;0;0;0;197;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Tabrizicola;"
0;4642;0;0;0;9415;0;904;0;0;0;0;0;0;0;0;1436;0;0;0;0;0;0;0;0;0;0;5244;0;0;0;0;0;0;4099;0;0;0;674;0;0;0;0;0;0;0;3925;0;0;0;1106;0;6095;0;516;1772;99;0;0;0;0;0;0;0;3559;45;0;0;0;0;0;"Bacilli;;;;"
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;290;"Bacilli;Exiguobacterales;Exiguobacteraceae;Exiguobacterium;Exiguobacterium profundum_A"
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Bacilli;Lactobacillales;Aerococcaceae;Aerococcus;"
104;0;0;0;0;16;0;0;0;540;0;0;0;0;0;0;517;417;0;0;0;0;266;38;0;0;267;0;0;0;0;0;0;0;0;170;0;39;0;0;0;0;0;2587;0;0;0;0;55;27;0;0;0;0;0;0;1296;781;0;0;0;0;29;19;0;0;926;0;0;389;295;"Bacilli;Lactobacillales;Aerococcaceae;Granulicatella;Granulicatella elegans"
0;0;385;0;41;0;0;0;0;96;0;0;0;82;11;0;0;24;0;0;0;0;0;113;0;0;89;143;300;0;0;112;345;0;0;1010;0;0;0;0;0;0;0;753;964;0;0;0;0;18;0;0;0;0;0;0;0;190;0;0;0;0;0;0;0;3614;664;49;0;0;641;"Bacilli;Lactobacillales;Aerococcaceae;Granulicatella;Granulicatella sp001058355"
121;145;0;0;0;0;0;0;0;123;0;0;484;0;27;108;0;0;341;0;74;0;0;176;0;0;0;0;0;0;0;1054;91;0;0;783;0;4011;0;0;40;0;0;0;223;0;0;173;37;4774;113;0;0;0;0;0;354;587;885;0;0;0;699;0;0;0;0;0;467;0;0;"Bacilli;Lactobacillales;Carnobacteriaceae;Dolosigranulum;Dolosigranulum pigrum"
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;"
0;0;0;0;271;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc;Leuconostoc carnosum"
